ROOT,LEMMA,LEMMA_ARA,PATTERN_ABSTRACT,PATTERN,GLOSS,FUNCTION,POS
*.h.l,ta*aAhal,تَذَاهَل,ta1A2a3,ta1aA2a3,feign_forgetfulness,trans,VERB
*.h.l,*ahol,ذَهْل,1a2o3,1a2o3,confusion;indifference;numbness,-,NOUN
*.H.l,*aHol,ذَحْل,1a2o3,1a2o3,resentment;vindictiveness,-,NOUN
*.h.l,*uhuwl,ذُهُول,1u2uw3,1u2uw3,confusion;indifference;numbness,-,NOUN
*.h.l,*aAhil,ذَاهِل,1A2i3,1aA2i3,numbed;perplexed,-,ADJ
*.h.l,ma*ohuwl,مَذْهُول,ma1o2uw3,ma1o2uw3,numbed;perplexed,-,ADJ
*.h.l,mu*ohil,مُذْهِل,mu1o2i3,mu1o2i3,amazing;startling,-,ADJ
*.h.l,muno*ahil,مُنْذَهِل,muno1a2i3,muno1a2i3,alarmed;perplexed,-,ADJ
*.h.n,*ihon,ذِهْن,1i2o3,1i2o3,intellect;mind,-,NOUN
*.h.n,*ihoniy~ap,ذِهْنِيَّة,1i2o3+iy~ap,1i2o3iy~,mentality,-,NOUN
*.h.n,*ihoniy~,ذِهْنِيّ,1i2o3+iy~,1i2o3iy~,intellectual;mental,-,ADJ
*.k.r,{isota*okar,ٱِسْتَذْكَر,{isota1o2a3,{isota1o2a3,memorize;recall,trans,VERB
*.k.r,*aAkar,ذَاكَر,1A2a3,1aA2a3,negotiate,trans,VERB
*.k.r,*ak~ar,ذَكَّر,1a2~a3,1a2~a3,remind,trans,VERB
*.k.r,*akar-u,ذَكَر-ُ,1a2a3,1a2a3,cite;mention;remember,trans,VERB
*.k.r,>a*okar,أَذْكَر,>a1o2a3,>a1o2a3,remind,trans,VERB
*.k.r,ta*aAkar,تَذَاكَر,ta1A2a3,ta1aA2a3,confer;remind_mutually,trans,VERB
*.k.r,ta*ak~ar,تَذَكَّر,ta1a2~3,ta1a2~a3,remember,trans,VERB
*.k.r,{isoti*okaAr,ٱِسْتِذْكَار,{isoti1o2A3,{isoti1o2aA3,memorization,-,NOUN
*.k.r,*aAkir,ذَاكِر,1A2i3,1aA2i3,citing;mentioning;remembering,-,NOUN
*.k.r,*aAkirap,ذَاكِرَة,1A2i3+ap,1aA2i3,memory,-,NOUN
*.k.r,*akar,ذَكَر,1a2a3,1a2a3,male,-,NOUN
*.k.r,*ukuwrap,ذُكُورَة,1u2uw3+ap,1u2uw3,masculinity,-,NOUN
*.k.r,*akiyr,ذَكِير,1a2iy3,1a2iy3,steel,-,NOUN
*.k.r,*ikor,ذِكْر,1i2o3,1i2o3,citation;dhikr_(Sufi_ritual);memory;mention,-,NOUN
*.k.r,*ikoraY,ذِكْرَى,1i2o3aY,1i2o3,commemoration;remembrance,-,NOUN
*.k.r,*ukorap,ذُكْرَة,1u2o3+ap,1u2o3,renown;reputation,-,NOUN
*.k.r,mu*aAkarap,مُذَاكَرَة,mu1A2a3+ap,mu1aA2a3,memorization;negotiation,-,NOUN
*.k.r,mu*ak~ar,مُذَكَّر,mu1a2~a3,mu1a2~a3,masculine,-,NOUN
*.k.r,mu*ak~irap,مُذَكِّرَة,mu1a2~i3+ap,mu1a2~i3,memorandum;reminder,-,NOUN
*.k.r,ta*ak~ur,تَذَكُّر,ta1a2~u3,ta1a2~u3,recollection;remembrance,-,NOUN
*.k.r,ta*okaAr,تَذْكَار,ta1o2A3,ta1o2aA3,remembrance;souvenir,-,NOUN
*.k.r,ta*okarap,تَذْكَرَة,ta1o2a3+ap,ta1o2a3,card;ticket,-,NOUN
*.k.r,ta*okirap,تَذْكِرَة,ta1o2i3+ap,ta1o2i3,memento;reminder,-,NOUN
*.k.r,ta*okiyr,تَذْكِير,ta1o2iy3,ta1o2iy3,memento;reminder;reminding,-,NOUN
*.k.r,*aAkir,ذَاكِر,1A2i3,1aA2i3,citing;mentioning;remembering,-,ADJ
*.k.r,*akariy~,ذَكَرِيّ,1a2a3+iy~,1a2a3iy~,male;masculine,-,ADJ
*.k.r,ma*okuwr,مَذْكُور,ma1o2uw3,ma1o2uw3,mentioned;worthy_of_mention,-,ADJ
*.k.r,mu*ak~ar,مُذَكَّر,mu1a2~a3,mu1a2~a3,masculine,-,ADJ
*.k.r,mu*ak~ir,مُذَكِّر,mu1a2~i3,mu1a2~i3,mentioning;reminding,-,ADJ
*.k.r,muta*ak~ir,مُتَذَكِّر,muta1a2~i3,muta1a2~i3,remembering,-,ADJ
*.k.r,ta*okaAriy~,تَذْكَارِيّ,ta1o2A3+iy~,ta1o2aA3iy~,commemorative;memorial,-,ADJ
*.k.r,ta*okariy~,تَذْكَرِيّ,ta1o2a3+iy~,ta1o2a3iy~,ticket_clerk,-,ADJ
*.k.r,ta*okarojiy~,تَذْكَرْجِيّ,ta1o2a3+jiy~,ta1o2a3ojiy~,ticket_clerk,-,ADJ
*.k.w,*akaA-u,ذَكَا-ُ,1a2a3,1a2,blaze;flare_up,#-aw trans,VERB
*.k.w,*akaA,ذَكَا,1a2a3,1a2,blazing;flaring_up,-,NOUN
*.k.w,*akaA',ذَكَاء,1a2A3,1a2aA,cleverness;intelligence,-,NOUN
*.k.w,*ukuw~,ذُكُوّ,1u2uw3,1u2u3~,blazing;flaring_up,-,NOUN
*.k.w,<i*okaA',إِذْكَاء,<i1o2A3,<i1o2aA,encouraging;fanning;kindling;making_blaze,-,NOUN
*.k.w,*akiy~,ذَكِيّ,1a2iy3,1a2iy~,clever;delicious;intelligent,-,ADJ
*.k.y,{isota*okaY,ٱِسْتَذْكَى,{isota1o2a3,{isota1o2,blaze;flare_up,#-ay trans,VERB
*.k.y,*ak~aY,ذَكَّى,1a2~a3,1a2~,kindle;set_ablaze,#-ay trans,VERB
*.k.y,*akiy-a,ذَكِي-َ,1a2a3_INTRANS,1a2,be_sharp-witted,INTRANS,VERB
*.k.y,>a*okaY,أَذْكَى,>a1o2a3,>a1o2,kindle;make_blaze,#-ay trans,VERB
*.l.*.l,*ulo*ul,ذُلْذُل,1u2o3u4,1u2o3u4,hem;lowest;riffraff,-,NOUN
*.l.f,>a*olaf,أَذْلَف,>a1o2a3,>a1o2a3,small-nosed,-,ADJ
*.l.f,>a*olaf,أَذْلَف,1a2o3A',1a2o3aA,small-nosed,-,ADJ
*.l.l,{isota*al~,ٱِسْتَذَلّ,{isota1o2a3,{isota1a2~,deride;disparage,gem trans,VERB
*.l.l,{isota*al~,ٱِسْتَذَلّ,{isota1o2a3,{isota1o2a3,deride;disparage,gem trans,VERB
*.l.l,*al~al,ذَلَّل,1a2~a3,1a2~a3,degrade;subdue,trans,VERB
*.l.l,>a*al~,أَذَلّ,>a1o2a3,>a1o2a3,degrade;subdue,gem trans,VERB
*.l.l,>a*al~,أَذَلّ,>a1o2a3,>a1a2~,degrade;subdue,gem trans,VERB
*.l.l,ta*al~al,تَذَلَّل,ta1a2~3_INTRANS,ta1a2~a3,be_humble;be_obsequious,INTRANS,VERB
*.l.l,*il~ap,ذِلَّة,1i2o3+ap,1i2~,depravity;submissiveness,-,NOUN
*.l.l,*ul~,ذُلّ,1u2o3,1u2~,dishonor;humiliation,-,NOUN
*.l.l,<i*olaAl,إِذْلَال,<i1o2A3,<i1o2aA3,degradation;surmounting,-,NOUN
*.l.l,ma*al~ap,مَذَلَّة,ma1o2a3+ap,ma1a2~,humiliation;meekness,-,NOUN
*.l.l,ta*al~ul,تَذَلُّل,ta1a2~u3,ta1a2~u3,self-abasement,-,NOUN
*.l.l,ta*oliyl,تَذْلِيل,ta1o2iy3,ta1o2iy3,degradation;surmounting,-,NOUN
*.l.l,*aliyl,ذَلِيل,1a2iy3,1a2iy3,despised;submissive,-,ADJ
*.l.l,*aluwl,ذَلُول,1a2uw3,1a2uw3,docile;tractable,-,ADJ
*.l.l,mu*il~,مُذِلّ,mu1o2i3,mu1i2~,disgraceful;humiliating,-,ADJ
*.l.q,*alaAqap,ذَلَاقَة,1a2A3+ap,1a2aA3,eloquence;fluency,-,NOUN
*.l.q,*aliq,ذَلِق,1a2i3,1a2i3,eloquent;fluent,-,NOUN
*.l.q,*aliyq,ذَلِيق,1a2iy3,1a2iy3,eloquent;fluent,-,NOUN
*.l.q,*awolaq,ذَوْلَق,1awo2a3,1awo2a3,tip_of_the_tongue,-,NOUN
*.l.q,>a*olaq,أَذْلَق,>a1o2a3,>a1o2a3,eloquent;fluent,-,NOUN
*.l.q,*awolaqiy~,ذَوْلَقِيّ,1awo2a3+iy~,1awo2a3iy~,apical;apical_(with_tip_of_the_tongue),-,ADJ
*.m.m,*am~-u,ذَمّ-ُ,1a2a3,1a2~,blame;criticize,gem trans,VERB
*.m.m,*am~-u,ذَمّ-ُ,1a2a3,1a2a3,blame;criticize,gem trans,VERB
*.m.m,*am~am,ذَمَّم,1a2~a3,1a2~a3,censure;rebuke,trans,VERB
*.m.m,*am~,ذَمّ,1a2o3,1a2~,censure;criticism,-,NOUN
*.m.m,*amiymap,ذَمِيمَة,1a2iy3+ap,1a2iy3,blame;censure,-,NOUN
*.m.m,*im~ap,ذِمَّة,1i2o3+ap,1i2~,protection;security,-,NOUN
*.m.m,*imaAm,ذِمَام,1i2A3,1i2aA3,claim;custody;protection,-,NOUN
*.m.m,ma*am~ap,مَذَمَّة,ma1o2a3+ap,ma1a2~,blame;censure,-,NOUN
*.m.m,*amiym,ذَمِيم,1a2iy3,1a2iy3,censured;reprehensible,-,ADJ
*.m.m,*im~iy~,ذِمِّيّ,1i2o3+iy~,1i2~iy~,dhimmi;dhimmi_(non-Muslim_citizen),-,ADJ
*.m.m,ma*omuwm,مَذْمُوم,ma1o2uw3,ma1o2uw3,censured;despicable;reprehensible,-,ADJ
*.m.m,mu*am~,مُذَمّ,mu1o2a3,mu1a2~,censured;despicable;reprehensible,-,ADJ
*.m.r,ta*am~ar,تَذَمَّر,ta1a2~3,ta1a2~a3,complain;grumble,trans,VERB
*.m.r,*imaAr,ذِمَار,1i2A3,1i2aA3,honor;sacred_possession,-,NOUN
*.m.r,ta*am~ur,تَذَمُّر,ta1a2~u3,ta1a2~u3,grievance;grumbling,-,NOUN
*.m.y,*amiy-a,ذَمِي-َ,1a2a3_INTRANS,1a2,be_near_death,INTRANS,VERB
*.m.y,*amaA',ذَمَاء,1a2A3,1a2aA,last_breath;last_remnant,-,NOUN
*.n.b,{isota*onab,ٱِسْتَذْنَب,{isota1o2a3,{isota1o2a3,find/declare_guilty;incriminate,trans,VERB
*.n.b,>a*onab,أَذْنَب,>a1o2a3,>a1o2a3,be_guilty;commit_an_offense;do_wrong,trans,VERB
*.n.b,*anab,ذَنَب,1a2a3,1a2a3,appendage;dependent;follower;tail,-,NOUN
*.n.b,*anob,ذَنْب,1a2o3,1a2o3,fault;misdeed;offense,-,NOUN
*.n.b,*unayob,ذُنَيْب,1u2ayo3,1u2ayo3,leafstalk;petiole,-,NOUN
*.n.b,mu*an~ab,مُذَنَّب,mu1a2~a3,mu1a2~a3,comet,-,NOUN
*.n.b,*anabiy~,ذَنَبِيّ,1a2a3+iy~,1a2a3iy~,appendaged;dependent;tail,-,ADJ
*.n.b,mu*onib,مُذْنِب,mu1o2i3,mu1o2i3,delinquent;guilty,-,ADJ
*.q.n,*aqon,ذَقْن,1a2o3,1a2o3,beard;chin,-,NOUN
*.r.>,*ara>-a,ذَرَأ-َ,1a2a3,1a2,create;seed;sow,#-a> trans,VERB
*.r.b,*arib-a,ذَرِب-َ,1a2i3_INTRANS,1a2i3,be_cutting;be_sharp,INTRANS,VERB
*.r.b,*arab,ذَرَب,1a2a3,1a2a3,diarrhea,-,NOUN
*.r.b,*arib,ذَرِب,1a2i3,1a2i3,cutting;sharp,-,NOUN
*.r.E,{ino*araE,ٱِنْذَرَع,{ino1a2a3,{ino1a2a3,advance;intervene,trans,VERB
*.r.E,*araE-a,ذَرَع-َ,1a2a3,1a2a3,measure,trans,VERB
*.r.E,ta*ar~aE,تَذَرَّع,ta1a2~3,ta1a2~a3,apply;employ,trans,VERB
*.r.E,*araA}iEiy~ap,ذَرَائِعِيَّة,1a2A}i3+iy~ap,1a2aA}i3iy~,expediency;pragmatism,-,NOUN
*.r.E,*ariyEap,ذَرِيعَة,1a2iy3+ap,1a2iy3,excuse;expediency;expedient;mean;pragmatics;pretext,-,NOUN
*.r.E,*aroE,ذَرْع,1a2o3,1a2o3,capability;power,-,NOUN
*.r.E,*iraAE,ذِرَاع,1i2A3,1i2aA3,arm;crank;lever,-,NOUN
*.r.E,ta*ar~uE,تَذَرُّع,ta1a2~u3,ta1a2~u3,applying;employing,-,NOUN
*.r.E,*araA}iEiy~,ذَرَائِعِيّ,1a2A}i3+iy~,1a2aA}i3iy~,expedient;pragmatic,-,ADJ
*.r.E,*ariyE,ذَرِيع,1a2iy3,1a2iy3,rapid;sweeping,-,ADJ
*.r.f,{isota*oraf,ٱِسْتَذْرَف,{isota1o2a3,{isota1o2a3,let_flow;shed,trans,VERB
*.r.f,*ar~af,ذَرَّف,1a2~a3,1a2~a3,exceed,trans,VERB
*.r.f,*araf-i,ذَرَف-ِ,1a2a3,1a2a3,flow;shed,trans,VERB
*.r.f,*arafaAn,ذَرَفَان,1a2a3An,1a2a3aAn,flowing;shedding,-,NOUN
*.r.f,*arof,ذَرْف,1a2o3,1a2o3,flowing;shedding,-,NOUN
*.r.f,*uruwf,ذُرُوف,1u2uw3,1u2uw3,flowing;shedding,-,NOUN
*.r.f,*ariyf,ذَرِيف,1a2iy3,1a2iy3,flowing;shedding,-,ADJ
*.r.H,*ur~aAH,ذُرَّاح,1u2~A3,1u2~aA3,Spanish_fly;blister_beetle,-,NOUN
*.r.q,*araq-i,ذَرَق-ِ,1a2a3,1a2a3,drop_excrement_(bird),trans,VERB
*.r.q,*araq-u,ذَرَق-ُ,1a2a3,1a2a3,drop_excrement_(bird),trans,VERB
*.r.q,>a*oraq,أَذْرَق,>a1o2a3,>a1o2a3,drop_excrement_(bird),trans,VERB
*.r.q,*aroq,ذَرْق,1a2o3,1a2o3,bird_dropping;bird_excrement,-,NOUN
*.r.r,*ar~-u,ذَرّ-ُ,1a2a3,1a2~,emerge;rise;scatter;spread;sprinkle,gem trans,VERB
*.r.r,*ar~-u,ذَرّ-ُ,1a2a3,1a2a3,emerge;rise;scatter;spread;sprinkle,gem trans,VERB
*.r.r,*ar~,ذَرّ,1a2o3,1a2~,sprinkling;strewing,-,NOUN
*.r.r,*ar~ap,ذَرَّة,1a2o3+ap,1a2~,atom;particle,-,NOUN
*.r.r,*ariyrap,ذَرِيرَة,1a2iy3+ap,1a2iy3,cosmetic_powder;fragrant_powder,-,NOUN
*.r.r,*aruwr,ذَرُور,1a2uw3,1a2uw3,powder,-,NOUN
*.r.r,*ur~iy~ap,ذُرِّيَّة,1u2o3+iy~ap,1u2~iy~,descendant;offspring,-,NOUN
*.r.r,*urayorap,ذُرَيْرَة,1u2ayo3+ap,1u2ayo3,subatomic_particle,-,NOUN
*.r.r,*ar~iy~,ذَرِّيّ,1a2o3+iy~,1a2~iy~,atomic,-,ADJ
*.r.r,*aruwriy~,ذَرُورِيّ,1a2uw3+iy~,1a2uw3iy~,powdery;pulverized,-,ADJ
*.r.r,*ur~iy~,ذُرِّيّ,1u2o3+iy~,1u2~iy~,offspring;progeny,-,ADJ
*.r.w,*araA-u,ذَرَا-ُ,1a2a3,1a2,disperse;scatter,#-aw trans,VERB
*.r.w,*arow,ذَرْو,1a2o3,1a2o3,dispersing;scattering,-,NOUN
*.r.w,*irowap,ذِرْوَة,1i2o3+ap,1i2o3,peak;summit,-,NOUN
*.r.w,*urowap,ذُرْوَة,1u2o3+ap,1u2o3,peak;summit,-,NOUN
*.r.w,mi*oraY,مِذْرَى,mi1o2a3,mi1o2,winnow,-,NOUN
*.r.y,{isota*oraY,ٱِسْتَذْرَى,{isota1o2a3,{isota1o2,take_refuge,#-ay trans,VERB
*.r.y,*ar~aY,ذَرَّى,1a2~a3,1a2~,atomize;disperse;scatter,#-ay trans,VERB
*.r.y,*araY-i,ذَرَى-ِ,1a2a3,1a2,disperse;scatter,#-ay trans,VERB
*.r.y,>a*oraY,أَذْرَى,>a1o2a3,>a1o2,disperse;scatter,#-ay trans,VERB
*.r.y,ta*ar~aY,تَذَرَّى,ta1a2~3,ta1a2~,climb;take_refuge,#-ay trans,VERB
*.r.y,*araY,ذَرَى,1a2a3,1a2,protection;shelter,-,NOUN
*.r.y,*aroy,ذَرْي,1a2o3,1a2o3,dispersing;scattering,-,NOUN
*.r.y,*urap,ذُرَة,1u2o3+ap,1u2,maize;sorghum,-,NOUN
*.r.y,ta*oriyap,تَذْرِيَة,ta1o2i3+ap,ta1o2i3,atomization,-,NOUN
*.w.b,*aAb-u,ذَاب-ُ,1a2a3_INTRANS,1u3,be_dissolved;be_melted;dwindle,INTRANS,VERB
*.w.b,*aAb-u,ذَاب-ُ,1a2a3_INTRANS,1aA3,be_dissolved;be_melted;dwindle,INTRANS,VERB
*.w.b,*aw~ab,ذَوَّب,1a2~a3,1a2~a3,dissolve;liquify;melt,trans,VERB
*.w.b,>a*aAb,أَذَاب,>a1o2a3,>a1a3,consume;dissolve;exhaust;melt,trans,VERB
*.w.b,>a*aAb,أَذَاب,>a1o2a3,>a1aA3,consume;dissolve;exhaust;melt,trans,VERB
*.w.b,*awabaAn,ذَوَبَان,1a2a3An,1a2a3aAn,dissolution;liquefaction;melting,-,NOUN
*.w.b,*awob,ذَوْب,1a2o3,1a2o3,dissolution;liquefaction;solution,-,NOUN
*.w.b,*uwaAbap,ذُوَابَة,1u2A3+ap,1u2aA3,lock;strand;tuft,-,NOUN
*.w.b,<i*aAbap,إِذَابَة,<i1o2A3+ap,<i1aA3,dissolution;liquefaction;melting,-,NOUN
*.w.b,ta*owiyb,تَذْوِيب,ta1o2iy3,ta1o2iy3,dissolution;liquefaction;melting,-,NOUN
*.w.b,*aA}ib,ذَائِب,1A2i3,1aA}i3,dissolved;melted;soluble,-,ADJ
*.w.d,*aAd-u,ذَاد-ُ,1a2a3,1u3,defend;remove;scatter,trans,VERB
*.w.d,*aAd-u,ذَاد-ُ,1a2a3,1aA3,defend;remove;scatter,trans,VERB
*.w.d,*aA}id,ذَائِد,1A2i3,1aA}i3,defender;protector,-,NOUN
*.w.d,*awod,ذَوْد,1a2o3,1a2o3,defense;protection,-,NOUN
*.w.d,*iyaAd,ذِيَاد,1i2A3,1iyaA3,defense;protection,-,NOUN
*.w.d,mi*owad,مِذْوَد,mi1o2a3,mi1o2a3,crib;manger,-,NOUN
*.w.q,*aAq-u,ذَاق-ُ,1a2a3,1u3,experience;sample;taste,trans,VERB
*.w.q,*aAq-u,ذَاق-ُ,1a2a3,1aA3,experience;sample;taste,trans,VERB
*.w.q,>a*aAq,أَذَاق,>a1o2a3,>a1a3,make_experience;make_sample;make_taste,trans,VERB
*.w.q,>a*aAq,أَذَاق,>a1o2a3,>a1aA3,make_experience;make_sample;make_taste,trans,VERB
*.w.q,ta*aw~aq,تَذَوَّق,ta1a2~3,ta1a2~a3,perceive;taste,trans,VERB
*.w.q,*aA}iqap,ذَائِقَة,1A2i3+ap,1aA}i3,sense_of_taste,-,NOUN
*.w.q,*aw~aAq,ذَوَّاق,1a2~A3,1a2~aA3,connoisseur;epicure,-,NOUN
*.w.q,*awaAq,ذَوَاق,1a2A3,1a2aA3,taste,-,NOUN
*.w.q,*awoq,ذَوْق,1a2o3,1a2o3,sense;sensitivity;taste,-,NOUN
*.w.q,ma*aAq,مَذَاق,ma1o2a3,ma1aA3,taste,-,NOUN
*.w.q,muta*aw~iq,مُتَذَوِّق,muta1a2~i3,muta1a2~i3,connoisseur;person_of_taste,-,NOUN
*.w.q,ta*aw~uq,تَذَوُّق,ta1a2~u3,ta1a2~u3,enjoyment;relish,-,NOUN
*.w.q,*awoqiy~,ذَوْقِيّ,1a2o3+iy~,1a2o3iy~,sense;taste,-,ADJ
*.w.t,*aAtiy~,ذَاتِيّ,1a2a3+iy~,1aA3iy~,auto-;autonomous;self,-,ADJ
