ROOT,LEMMA,PATTERN_ABSTRACT,PATTERN,LEMMA_ARA,GLOSS,FUNCTION,POS, 
d.l.y,tadal~aY,ta1a2~3_INTRANS,ta1a2~,تَدَلَّى,be_dangled;be_lowered;be_suspended,intrans,VERB,
d.l.y,daAliyap,1A2i3+ap,1aA2i3,دَالِيَة,trellis;waterwheel,,NOUN,
d.l.y,dal~aAyap,1a2~A3+ap,1a2~aA3,دَلَّايَة,pendant,,NOUN,
d.l.y,<idolaA',<i1o2A3,<i1o2aA,إِدْلَاء,delivery;granting;presentation,,NOUN,
d.l.y,daAliyap,1awA2i3,1awaA2,دَالِيَة,trellis;waterwheel,,NOUN,
d.l.y,mutadal~iy,muta1a2~i3,muta1a2~,مُتَدَلِّي,dangling;projecting;suspended,,ADJ,
d.l.y,d.l.y,ROOT,ROOT,د.ل.ي,,,ROOT,
d.m.l,{inodamal,{ino1a2a3,{ino1a2a3,ٱِنْدَمَل,cicatrize;fester;heal,trans,VERB,
d.m.l,damal,1a2a3,1a2a3,دَمَل,fertilize,trans,VERB,
d.m.l,damil,1a2a3,1a2i3,دَمِل,cicatrize;fester;heal,trans,VERB,
d.m.l,dum~alap,1a2A2iy3,1a2aA2iy3,دُمَّلَة,abscess;boil,,NOUN,
d.m.l,dum~al,1u2~a3,1u2~a3,دُمَّل,abscess;boil,,NOUN,
d.m.l,dum~alap,1u2~a3+ap,1u2~a3,دُمَّلَة,abscess;boil,,NOUN,
d.m.l,dum~al,1a2A2i3,1a2aA2i3,دُمَّل,abscess;boil,,NOUN,
d.m.l,dum~aliy~,1u2~a3+iy~,1u2~a3iy~,دُمَّلِيّ,bubonic;furuncular,,ADJ,
d.m.l,d.m.l,ROOT,ROOT,د.م.ل,,,ROOT,
D.w.>,{isotaDaA',{isota1o2a3_INTRANS,{isota1,ٱِسْتَضَاء,be_lit;become_clear,intrans,VERB,
D.w.>,>aDaA',>a1o2a3,>a1,أَضَاء,illuminate;shine,#-A' trans,VERB,
D.w.>,DaA',1a2a3,1,ضَاء,illuminate;shine,#-A' trans,VERB,
D.w.>,DaA',1a2a3,1u3,ضَاء,illuminate;shine,trans,VERB,
D.w.>,DaA',1a2a3,1,ضَاء,illuminate;shine,#-A' trans,VERB,
D.w.>,DaA',1a2a3,1u3,ضَاء,illuminate;shine,trans,VERB,
D.w.>,Daw~a>,1a2~a3,1a2~,ضَوَّأ,illuminate;shine,#-a> trans,VERB,
D.w.>,taDaw~a>,ta1a2~a3,ta1a2~,تَضَوَّأ,illuminate;shine,#-a> trans,VERB,
D.w.>,{isotaDaA',{isota1o2a3_INTRANS,{isota1,ٱِسْتَضَاء,be_lit;become_clear,intrans,VERB,
D.w.>,>aDaA',>a1o2a3,>a1,أَضَاء,illuminate;shine,#-A' trans,VERB,
D.w.>,Dawo',1a2o3,1a2,ضَوْء,light,,NOUN,
D.w.>,Dawo',>a1o2A3,>a1o2aA,ضَوْء,light,,NOUN,
D.w.>,<iDaA'ap,<i1o2A3+ap,<i1aA',إِضَاءَة,illumination;lighting,,NOUN,
D.w.>,Duwayo',1u2ayo3,1u2ayo,ضُوَيْء,photon;small_light,,NOUN,
D.w.>,D.w.>,ROOT,ROOT,ض.و.ء,,,ROOT,
E.d.l,{iEotadal,{i1ota2a3_INTRANS,{i1ota2a3,ٱِعْتَدَل,be_balanced;be_moderate,intrans,VERB,
E.d.l,Ead~al,1a2~a3,1a2~a3,عَدَّل,alter;modify;rectify,trans,VERB,
E.d.l,EaAdal,1A2a3_INTRANS,1aA2a3,عَادَل,be_equal;make_equal;tie_(sports),intrans,VERB,
E.d.l,Eadal,1a2a3,1a2a3,عَدَل,act_justly,trans,VERB,
E.d.l,taEad~al,ta1a2~3_INTRANS,ta1a2~a3,تَعَدَّل,be_altered,intrans,VERB,
E.d.l,taEaAdal,ta1A2a3_INTRANS,ta1aA2a3,تَعَادَل,be_balanced;be_equitable;tie,intrans,VERB,
E.d.l,Eadol,1a2o3,1a2o3,عَدْل,fairness;justice,,NOUN,
E.d.l,Euduwl,1u2uw3,1u2uw3,عُدُول,abstention;renunciation,,NOUN,
E.d.l,taEodiyl,ta1o2iy3,ta1o2iy3,تَعْدِيل,adjustment;amendment;change;modification,,NOUN,
E.d.l,EadaAlap,1a2A3+ap,1a2aA3,عَدَالَة,fairness;justice,,NOUN,
E.d.l,muEaAdalap,mu1A2a3+ap,mu1aA2a3,مُعَادَلَة,balancing;equalizing;equation,,NOUN,
E.d.l,{iEotidaAl,{i1oti2A3,{i1oti2aA3,ٱِعْتِدَال,evenness;moderateness,,NOUN,
E.d.l,taEaAdul,ta1A2u3,ta1aA2u3,تَعَادُل,balance;compensation;equilibrium;equitable_distribution;tie,,NOUN,
E.d.l,muEad~al,mu1a2~a3,mu1a2~a3,مُعَدَّل,average;mean;rate,,NOUN,
E.d.l,Eadoliy~ap,1a2o3+iy~ap,1a2o3iy~,عَدْلِيَّة,legal_administration,,NOUN,
E.d.l,EaAdil,1A2i3,1aA2i3,عَادِل,equitable;fair;just,,ADJ,
E.d.l,Eadiyl,1a2A}i3,1a2aA}i3,عَدِيل,equal;equivalent,,ADJ,
E.d.l,Eadiyl,1a2iy3,1a2iy3,عَدِيل,equal;equivalent,,ADJ,
E.d.l,Eadoliy~,1a2o3+iy~,1a2o3iy~,عَدْلِيّ,judicial;legal,,ADJ,
E.d.l,maEoduwl,ma1o2uw3,ma1o2uw3,مَعْدُول,altered;amended,,ADJ,
E.d.l,muEaAdil,mu1A2i3,mu1aA2i3,مُعَادِل,equal;equalizer,,ADJ,
E.d.l,muEad~al,mu1a2~a3,mu1a2~a3,مُعَدَّل,altered;modified,,ADJ,
E.d.l,muEotadil,mu1ota2i3,mu1ota2i3,مُعْتَدِل,balanced;liberal;moderate,,ADJ,
E.d.l,mutaEaAdil,muta1A2i3,muta1aA2i3,مُتَعَادِل,balanced;neutral,,ADJ,
E.d.l,>aEodal,>a1o2a3,NI,أَعْدَل,fairer/fairest;more/most_equitable,,ADJ_COMP,
E.d.l,E.d.l,ROOT,ROOT,ع.د.ل,,,ROOT,
